Row Labels,Sum of Likes,Sum of Shares,Sum of Comments,Total _Engagement,,,,,,,,,,,,,,,,,,,,,
Facebook,242761,39181,23300,305242,,,,,,,,,,,,,,,,,,,,,
Instagram,204284,41444,17851,263579,,,,,,,,,,,,,,,,,,,,,
Twitter,201397,33728,20880,256005,,,,,,,,,,,,,,,,,,,,,
YouTube,171549,28572,12820,212941,,,,,,,,,,,,,,,,,,,,,
Grand Total,819991,142925,74851,1037767,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
